1989 Constructor Standings,12,March Judd,4
year,position,team,total_points
1989 Constructor Standings,13,Rial Ford,3
year,position,team,total_points
1989 Constructor Standings,13,Ligier Ford,3
year,position,team,total_points
1989 Constructor Standings,15,AGS Ford,1
year,position,team,total_points
1989 Constructor Standings,15,Lola Lamborghini,1
year,position,team,total_points
2024 Constructor Standings,1,Red Bull Racing Honda RBPT,389
year,position,team,total_points
2024 Constructor Standings,2,McLaren Mercedes,338
year,position,team,total_points
2024 Constructor Standings,3,Ferrari,322
year,position,team,total_points
2024 Constructor Standings,4,Mercedes,241
year,position,team,total_points
2024 Constructor Standings,5,Aston Martin Aramco Mercedes,69
year,position,team,total_points
2024 Constructor Standings,6,RB Honda RBPT,33
year,position,team,total_points
2024 Constructor Standings,7,Haas Ferrari,27
year,position,team,total_points
2024 Constructor Standings,8,Alpine Renault,9
year,position,team,total_points
2024 Constructor Standings,9,Williams Mercedes,4
year,position,team,total_points
2024 Constructor Standings,10,Kick Sauber Ferrari,0
year,position,team,total_points
1962 Constructor Standings,1,BRM,42
year,position,team,total_points
1962 Constructor Standings,2,Lotus Climax,36
year,position,team,total_points
1962 Constructor Standings,3,Cooper Climax,29
year,position,team,total_points
1962 Constructor Standings,4,Lola Climax,19
year,position,team,total_points
1961 Constructor Standings,1,Ferrari,40
year,position,team,total_points
1962 Constructor Standings,5,Porsche,18
year,position,team,total_points
1962 Constructor Standings,5,Ferrari,18
year,position,team,total_points
1962 Constructor Standings,7,Brabham Climax,6
year,position,team,total_points
1962 Constructor Standings,8,Lotus BRM,1
year,position,team,total_points
1961 Constructor Standings,2,Lotus Climax,32
year,position,team,total_points
1961 Constructor Standings,3,Porsche,22
year,position,team,total_points
1961 Constructor Standings,4,Cooper Climax,14
year,position,team,total_points
1961 Constructor Standings,5,BRM Climax,7
year,position,team,total_points
1968 Constructor Standings,1,Lotus Ford,62
year,position,team,total_points
1968 Constructor Standings,2,McLaren Ford,49
year,position,team,total_points
1968 Constructor Standings,3,Matra Ford,45
year,position,team,total_points
1968 Constructor Standings,4,Ferrari,32
year,position,team,total_points
1968 Constructor Standings,5,BRM,28
year,position,team,total_points
1968 Constructor Standings,6,Honda,14
year,position,team,total_points
1968 Constructor Standings,6,Cooper BRM,14
year,position,team,total_points
1968 Constructor Standings,8,Brabham Repco,10
year,position,team,total_points
1968 Constructor Standings,9,Matra,8
year,position,team,total_points
1968 Constructor Standings,10,Mclaren BRM,3
year,position,team,total_points
1967 Constructor Standings,1,Brabham Repco,63
year,position,team,total_points
1967 Constructor Standings,2,Lotus Ford,44
year,position,team,total_points
1967 Constructor Standings,3,Cooper Maserati,28
year,position,team,total_points
1967 Constructor Standings,4,Honda,20
year,position,team,total_points
1967 Constructor Standings,4,Ferrari,20
year,position,team,total_points
1967 Constructor Standings,6,BRM,17
year,position,team,total_points
1967 Constructor Standings,7,Eagle Weslake,13
year,position,team,total_points
1967 Constructor Standings,8,Cooper Climax,6
year,position,team,total_points
1967 Constructor Standings,8,Lotus BRM,6
year,position,team,total_points
1967 Constructor Standings,10,McLaren BRM,3
year,position,team,total_points
1967 Constructor Standings,11,Brabham Climax,2
year,position,team,total_points
1966 Constructor Standings,1,Brabham Repco,42
year,position,team,total_points
1966 Constructor Standings,2,Ferrari,31
1966 Constructor Standings,3,Cooper Maserati,30
1966 Constructor Standings,4,BRM,22
1966 Constructor Standings,5,Lotus BRM,13
1966 Constructor Standings,6,Lotus Climax,8
1966 Constructor Standings,7,Eagle Climax,4
1966 Constructor Standings,8,Honda,3
1966 Constructor Standings,9,McLaren Ford,2
1966 Constructor Standings,10,Brabham BRM,1
1966 Constructor Standings,10,McLaren Serenissima,1
1966 Constructor Standings,10,Brabham Climax,1
1964 Constructor Standings,1,Ferrari,45
1964 Constructor Standings,2,BRM,42
1964 Constructor Standings,3,Lotus Climax,37
1964 Constructor Standings,4,Brabham Climax,30
1964 Constructor Standings,5,Cooper Climax,16
1964 Constructor Standings,6,Brabham BRM,7
1964 Constructor Standings,7,BRP BRM,5
1964 Constructor Standings,8,Lotus BRM,3
1965 Constructor Standings,1,Lotus Climax,54
1965 Constructor Standings,2,BRM,45
1965 Constructor Standings,3,Brabham Climax,27
1965 Constructor Standings,4,Ferrari,26
1965 Constructor Standings,5,Cooper Climax,14
1965 Constructor Standings,6,Honda,11
1965 Constructor Standings,7,Brabham BRM,5
